Date,Open,High,Low,Close
03-20-2024,415.64,0,0,419.61
03-21-2024,419.61,0,0,416.62
03-22-2024,416.62,0,0,417.64
03-25-2024,417.64,0,0,418.84
03-26-2024,418.84,0,0,415.88
03-27-2024,415.88,0,0,414.28
03-28-2024,414.28,0,0,413.51
04-01-2024,413.51,0,0,413.49
04-02-2024,413.49,0,0,414.51
04-03-2024,414.51,0,0,417.63
04-04-2024,417.63,0,0,406.71
04-05-2024,406.71,0,0,410.38
04-08-2024,410.38,0,0,409.57
04-09-2024,409.57,0,0,408.84
04-10-2024,408.84,0,0,410.2
04-11-2024,410.2,0,0,415.28
04-12-2024,415.28,0,0,412.47
04-15-2024,412.47,0,0,401.54
04-16-2024,401.54,0,0,401.74
04-17-2024,401.74,0,0,394.52
04-18-2024,394.52,0,0,391.46
04-19-2024,391.46,0,0,383.94
04-22-2024,383.94,0,0,385.44
04-23-2024,385.44,0,0,389.71
04-24-2024,389.71,0,0,388.03
04-25-2024,388.03,0,0,393.21
04-26-2024,393.21,0,0,396.57
04-29-2024,396.57,0,0,396.19
04-30-2024,396.19,0,0,389.67
05-01-2024,389.67,0,0,388.05
05-02-2024,388.05,0,0,389.64
05-03-2024,389.64,0,0,390.67
05-06-2024,390.67,0,0,393.6
05-07-2024,393.6,0,0,393.22
05-08-2024,393.22,0,0,395.6
05-09-2024,395.6,0,0,396.29
05-10-2024,396.29,0,0,395.81
05-13-2024,395.81,0,0,394.91
05-14-2024,394.91,0,0,398.17
05-15-2024,398.17,0,0,402.61
05-16-2024,402.61,0,0,401.88
05-17-2024,401.88,0,0,401.53
05-20-2024,401.53,0,0,404.44
05-21-2024,404.44,0,0,407.18
05-22-2024,407.18,0,0,406.83
05-23-2024,406.83,0,0,399.98
05-24-2024,399.98,0,0,402.62
05-28-2024,402.62,0,0,403.12
05-29-2024,403.12,0,0,404.07
05-30-2024,404.07,0,0,400.14
05-31-2024,400.14,0,0,399.08
06-03-2024,399.08,0,0,397.65
06-04-2024,397.65,0,0,399.14
06-05-2024,399.14,0,0,404.66
06-06-2024,404.66,0,0,403.82
06-07-2024,403.82,0,0,403.78
06-10-2024,403.78,0,0,406.77
06-11-2024,406.77,0,0,411.22
06-12-2024,411.22,0,0,413.37
06-13-2024,413.37,0,0,412.38
06-14-2024,412.38,0,0,415.03
06-17-2024,415.03,0,0,420.6
06-18-2024,420.6,0,0,420.8
06-20-2024,420.8,0,0,415.88
06-21-2024,415.88,0,0,414.88
06-24-2024,414.88,0,0,410.68
06-25-2024,410.68,0,0,413.98
06-26-2024,413.98,0,0,415.79
06-27-2024,415.79,0,0,417.27
06-28-2024,417.27,0,0,413.98
07-01-2024,413.98,0,0,415.85
07-02-2024,415.85,0,0,422.39
07-03-2024,422.39,0,0,427.19
07-05-2024,427.19,0,0,431.44
07-08-2024,431.44,0,0,432.25
